ax,ay,az
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.055664,-0.007324,1.010254
-0.06543,-0.011475,1.002686
-0.063721,-0.009277,1.000244
-0.057373,-0.006836,1.011475
-0.06543,-0.003906,1.018311
-0.063477,-0.001709,1.00708
-0.052002,-0.023193,1.013428
-0.057617,-0.012695,1.001221
-0.06543,-0.005859,1.002686
-0.06958,-0.002197,1.10376
-0.052246,-0.010498,1.007324
-0.05957,-0.008301,0.999756
-0.059326,-0.008057,0.993408
-0.072266,-0.01123,0.996582
-0.054687,-0.013428,0.98584
-0.05957,-0.009521,1.01001
-0.061279,-0.007324,0.993896
-0.06665,-0.015137,1.01709
-0.060791,-0.009277,1.008789
-0.066162,-0.012451,1.010498
-0.061768,-0.009277,0.999268
-0.064941,-0.007324,1.005859
-0.060059,-0.011475,0.995605
-0.061523,-0.011719,1.020996
-0.060547,-0.000977,1.009277
-0.062744,-0.011719,1.010742
-0.059814,-0.007324,1.012695
-0.064453,-0.006592,1.006836
-0.060303,-0.007568,1.013428
-0.054199,-0.013916,1.014893
-0.060059,-0.010986,0.99707
-0.063232,-0.003174,1.012939
-0.061035,-0.017334,1.001221
-0.054199,-0.017578,1.004395
-0.058838,-0.002197,1.011719
-0.060303,-0.01416,1.006104
-0.05957,-0.009521,0.996582
-0.059814,-0.011475,1.006836
-0.05835,-0.008301,1.007568
-0.05957,-0.01001,0.999268
-0.062256,-0.012207,1.01001
-0.063965,-0.013672,0.996338
-0.057129,-0.008545,1.009521
-0.060059,-0.012939,0.995361
-0.060303,-0.01001,1.002441
-0.066895,-0.012207,1.009277
-0.0625,-0.009766,0.995117
-0.064697,-0.010498,1.003662
-0.062988,-0.007324,1.008301
-0.062256,-0.010254,1.007568
-0.054932,-0.01001,1.013672
-0.061768,-0.012451,1.004639
-0.052246,-0.01123,1.013184
-0.060791,-0.008057,1.006592
-0.062256,-0.008057,1.012451
-0.057861,-0.012451,1.00708
-0.063721,-0.008057,1.013672
-0.057373,-0.010498,1.004639
-0.064941,-0.017334,1.010986
-0.063232,-0.012207,1.00415
-0.059082,-0.010254,1.008545
-0.065186,-0.00415,1.009766
-0.061523,-0.010742,1.008057
-0.063232,-0.01001,1.011719
-0.063965,-0.018066,1.023926
-0.047852,-0.023193,0.982666
-0.069336,-0.008057,1.005127
-0.069824,-0.037109,0.964355
-0.072021,0.000244,0.977051
-0.064697,-0.025635,1.006104
-0.066162,-0.019287,0.973877
-0.061768,-0.013672,1.022949
-0.058105,-0.006348,1.001953
-0.057129,-0.006348,1.00708
-0.05127,-0.00708,1.003174
-0.426758,0.075928,1.183594
-0.070801,-0.008301,1.020508
-0.015869,-0.00293,0.986328
-0.061035,-0.011719,1.005859
-0.066162,-0.010742,0.996582
-0.054932,-0.003906,1.001221
-0.058105,-0.011719,1.003174
-0.058838,-0.009766,1.003906
-0.15332,-0.142578,1.025391
-0.085449,-0.005859,1.028809
-0.037109,-0.02002,0.991699
-0.066895,-0.011475,1.016113
-0.059814,-0.01416,0.994629
-0.060547,-0.006348,1.003174
-0.054199,-0.013428,1.013916
-0.437256,0.123291,0.963623
-0.071045,0.010498,1.025391
-0.055664,-0.009766,1.001221
-0.059326,-0.010254,1.010498
-0.060547,-0.009033,1.004639
